Link,Title,Notes,Data Processing4VIS,Data-VIS Mapping,Insight Communication,Style Imitation,VIS Reading,User Profiling,VIS Interaction,Clustering,Dimension Reduction,Generative,Classification,Regression,semi-supervised,Reinforcement
https://dl.acm.org/doi/10.1145/3613904.3642639,DynaVis: Dynamically Synthesized UI Widgets for Visualization Editing,Allow user to edit while allow them to see instant visual feedbacks. ,,,,,X,,X,,,X,,,,
https://dl.acm.org/doi/10.1145/3613904.3642276,A Human Information Processing Theory of the Interpretation of Visualizations: Demonstrating Its Utility,"RIST models human memory structures during visualization use, "" RIST adopts a human information processing perspective in order to address the immediate, short timescale, cognitive load likely to be experienced by visualization users.""",,,X,,,,,,X,,,,,
https://dl.acm.org/doi/10.1145/3613904.3642049,Make Interaction Situated: Designing User Acceptable Interaction for Situated Visualization in Public Environments,Situated visualization in public environments with the consideration of users' needs for data and interaction,,,,,,X,X,,,X,X,,,
https://dl.acm.org/doi/10.1145/3613905.3650972,Card-Based Approach to Engage Exploring Ethics in AI for Data Visualization,"Using cards to help users learn, discuss, and reflect on the ethical dilemmas that may arise from the integration of AI technology and visualization",,,X,,,X,,,,,X,,,
https://dl.acm.org/doi/10.1145/3613904.3642001,DeepSee: Multidimensional Visualizations of Seabed Ecosystems,"Developed a interactive data workspaces that visualizes 2D and 3D interpolations of biogeochemical and microbial processes in deep ocean sediment samples,",,X,,,,,,,,,,X,,
https://dl.acm.org/doi/10.1145/3613904.3642112,Discovering Accessible Data Visualizations for People with ADHD,A survey compared the comprehension of data visualizations between participants with and without ADHD that leading to design recommendations for accessible visualizations for people with ADHD.,,,,,,X,X,,,,X,,,
https://dl.acm.org/doi/10.1145/3613904.3642813,Do You See What I See? A Qualitative Study Eliciting High-Level Visualization Comprehension,"A qualitative study on three types of visualizations reveals that people’s comprehension of high-level patterns often misaligns with designers' goals and traditional perceptual studies, highlighting the need for multiple perspectives to evaluate visualization effectiveness.",,,X,,X,,,X,,,,,,
https://dl.acm.org/doi/10.1145/3613904.3642346,DoodleTunes: Interactive Visual Analysis of Music-Inspired Children Doodles with Automated Feature Annotation,"An interactive visualization system DoodleTunes using deep learning for annotating data features, facilitates the exploration of correlations between children's music-inspired doodles and corresponding music pieces, ",X,,,,,,,,,,X,,,
https://dl.acm.org/doi/10.1145/3613904.3642776,Glanceable Data Visualizations for Older Adults: Establishing Thresholds and Examining Disparities Between Age Groups,A study about how visualization type and number of data points affect glanceable perception. (smartwatch visualizations for adults aged 65 and older),,,,,,X,,,,,X,X,,
https://dl.acm.org/doi/10.1145/3613904.3642730,MAIDR: Making Statistical Visualizations Accessible with Multimodal Data Representation,The MAIDR system enhances data exploration for blind users,,,,,,X,X,,,X,,,,
https://dl.acm.org/doi/10.1145/3613904.3642188,How Do Low-Vision Individuals Experience Information Visualization?,how low-vision individuals interact with visualizations and suggests personalized tools based on qualitative insights.,,,X,,X,,X,,,,,,,
https://dl.acm.org/doi/10.1145/3613904.3642165,IntentTuner: An Interactive Framework for Integrating Human Intentions in Fine-tuning Text-to-Image Generative Models,enhancing fine-tuning processes for text-to-image generative models by integrating user intentions throughout,,,,X,,X,X,,,X,,,,X
https://dl.acm.org/doi/10.1145/3613904.3642415,Table Illustrator: Puzzle-based interactive authoring of plain tables,developing a tool (Table Illustrator) for creating and customizing tables efficiently,,X,,X,,,,,,,X,,?,
https://dl.acm.org/doi/10.1145/3613904.3642861,Is It AI or Is It Me? Understanding Users’ Prompt Journey with Text-to-Image Generative AI Tools,"the human-centered design aspects of text-to-image AI tools, emphasizing how users craft prompts and interact with AI outputs",,,X,,,,X,,,X,,,,
https://dl.acm.org/doi/10.1145/3613904.3642803,PromptCharm: Text-to-Image Generation through Multi-modal Prompting and Refinement,"PromptCharm, a system designed to enhance text-to-image creation by supporting prompt refinement, style exploration, and visual feedback through model attention visualizations.",,,,X,,,X,,,X,,,X,
https://dl.acm.org/doi/10.1145/3613904.3642792,"An Accessible, Three-Axis Plotter for Enhancing Calligraphy Learning through Generated Motion",a plotter-based system designed to facilitate the learning of calligraphy by guiding novice learners in replicating expert movements.,,,,X,,,X,,,X,,,,
